raan                      ta                        type                      rmag                      dv                   
150                       280                       1                         0                         0.7261138916015625        
150                       290                       1                         0                         0.7140106201171874        
150                       300                       1                         0                         0.7042785644531251        
150                       310                       1                         0                         0.6966705322265626        
150                       320                       1                         0                         0.6909851074218751        
150                       330                       1                         0                         0.6871215820312501        
150                       340                       1                         0                         0.6850616455078126        
150                       350                       1                         0                         0.6849243164062501        
150                       360                       1                         0                         0.687030029296875         
160                       0                         1                         0                         0.7045257568359374        
160                       10                        1                         0                         0.7112365722656251        
160                       20                        1                         0                         0.7222869873046875        
160                       30                        1                         0                         0.7392974853515626        
160                       40                        1                         0                         0.7644104003906251        
160                       50                        1                         0                         0.7994110107421875        
160                       60                        1                         0                         0.84375                   
160                       70                        1                         0                         0.8937927246093749        
160                       80                        0                         0                         0                         
160                       90                        0                         0                         0                         
160                       100                       0                         0                         0                         
160                       110                       0                         0                         0                         
160                       120                       0                         0                         0                         
160                       130                       0                         0                         0                         
160                       140                       0                         0                         0                         
160                       150                       0                         0                         0                         
160                       160                       0                         0                         0                         
160                       170                       0                         0                         0                         
160                       180                       0                         0                         0                         
160                       190                       0                         0                         0                         
160                       200                       0                         0                         0                         
160                       210                       1                         0                         0.8866973876953126        
160                       220                       1                         0                         0.8583343505859377        
160                       230                       1                         0                         0.8321136474609375        
160                       240                       1                         0                         0.8082916259765623        
160                       250                       1                         0                         0.7870330810546874        
160                       260                       1                         0                         0.76834716796875          
160                       270                       1                         0                         0.752197265625            
160                       280                       1                         0                         0.73846435546875          
160                       290                       1                         0                         0.727001953125            
160                       300                       1                         0                         0.7176818847656252        
160                       310                       1                         0                         0.7103851318359374        
160                       320                       1                         0                         0.7050292968749999        
160                       330                       1                         0                         0.70162353515625          
160                       340                       1                         0                         0.7002410888671875        
160                       350                       1                         0                         0.7010833740234376        
160                       360                       1                         0                         0.7045257568359374        
170                       0                         1                         0                         0.7352142333984374        
170                       10                        1                         0                         0.7425476074218749        
170                       20                        1                         0                         0.7530578613281249        
170                       30                        1                         0                         0.7670562744140627        
170                       40                        1                         0                         0.7847259521484374        
170                       50                        1                         0                         0.8059204101562499        
170                       60                        1                         0                         0.8301544189453125        
170                       70                        1                         0                         0.856732177734375         
170                       80                        1                         0                         0.885040283203125         
170                       90                        0                         0                         0                         
170                       100                       0                         0                         0                         
170                       110                       0                         0                         0                         
170                       120                       0                         0                         0                         
170                       130                       0                         0                         0                         
170                       140                       0                         0                         0                         
170                       150                       0                         0                         0                         
170                       160                       0                         0                         0                         
170                       170                       0                         0                         0                         
170                       180                       0                         0                         0                         
170                       190                       0                         0                         0                         
170                       200                       1                         0                         0.88934326171875          
170                       210                       1                         0                         0.8689544677734375        
170                       220                       1                         0                         0.84927978515625          
170                       230                       1                         0                         0.8306488037109375        
170                       240                       1                         0                         0.8132446289062499        
170                       250                       1                         0                         0.7972412109375           
170                       260                       1                         0                         0.7827575683593748        
170                       270                       1                         0                         0.769866943359375         
170                       280                       1                         0                         0.758642578125            
170                       290                       1                         0                         0.7491210937499999        
170                       300                       1                         0                         0.7413391113281249        
170                       310                       1                         0                         0.7353240966796873        
170                       320                       1                         0                         0.73114013671875          
170                       330                       1                         0                         0.7288787841796874        
170                       340                       1                         0                         0.728668212890625         
170                       350                       1                         0                         0.7306915283203125        
170                       360                       1                         0                         0.7352142333984374        
180                       0                         1                         0                         0.7830688476562498        
180                       10                        1                         0                         0.7864929199218751        
180                       20                        1                         0                         0.79097900390625          
180                       30                        1                         0                         0.7965362548828125        
180                       40                        1                         0                         0.8031829833984374        
180                       50                        1                         0                         0.8109466552734373        
180                       60                        1                         0                         0.8198822021484374        
180                       70                        1                         0                         0.8300628662109374        
180                       80                        1                         0                         0.8414794921875           
180                       90                        1                         0                         0.8537567138671875        
180                       100                       1                         0                         0.8667938232421875        
180                       110                       0                         0                         0                         
180                       120                       0                         0                         0                         
180                       130                       0                         0                         0                         
180                       140                       0                         0                         0                         
180                       150                       0                         0                         0                         
180                       160                       0                         0                         0                         
180                       170                       0                         0                         0                         
180                       180                       1                         0                         0.87843017578125          
180                       190                       1                         0                         0.8687896728515626        
180                       200                       1                         0                         0.8587280273437502        
180                       210                       1                         0                         0.8485107421875           
180                       220                       1                         0                         0.838458251953125         
180                       230                       1                         0                         0.8289550781249999        
180                       240                       1                         0                         0.8201568603515625        
180                       250                       1                         0                         0.8121093749999999        
180                       260                       1                         0                         0.8048492431640625        
180                       270                       1                         0                         0.7984039306640626        
180                       280                       1                         0                         0.7928192138671876        
180                       290                       1                         0                         0.7881408691406251        
180                       300                       1                         0                         0.784405517578125         
180                       310                       1                         0                         0.7816314697265624        
180                       320                       1                         0                         0.779864501953125         
180                       330                       1                         0                         0.77911376953125          
180                       340                       1                         0                         0.779388427734375         
180                       350                       1                         0                         0.7807067871093749        
180                       360                       1                         0                         0.7830688476562498        
190                       0                         1                         0                         0.8452972412109375        
190                       10                        1                         0                         0.837908935546875         
190                       20                        1                         0                         0.8308044433593749        
